name,type
id_entrevistado,VARCHAR
timestamp,INT
latitude,INT
longitude,INT
accuracy,INT
velocity,INT
altitude,INT
vertical_accuracy,INT
activity_timestamp,INT
activity,VARCHAR
activity_confidence,INT
